strategy,model,feature_count,n_rows,background_size,n_cores,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,repeats,time_cv_percent,energy_cv_percent
joblib,SVM-RBF,30,100,100,4,106.90547859998576,13.094804192626267,2698.230581333899,603.7023975700478,3,12.248955211756577,22.37401064780761
multiprocessing,SVM-RBF,15,100,100,4,83.27982526666408,10.17218733133217,2064.9660489992616,473.90902737329895,3,12.21446766820244,22.94996702744668
multiprocessing,SVM-RBF,15,100,50,4,41.39171923334167,5.019538914779158,1104.4345296674778,168.59923911343225,3,12.126915740034887,15.26566171054014
threading,SVM-RBF,15,100,50,8,38.38108736666618,4.503351011389684,978.6619749995348,75.31880257201156,3,11.733255413969399,7.696099827731365
multiprocessing,LogisticRegression,30,100,50,2,7.859756966664766,0.8784650545438513,192.25229033433683,49.08898872926699,3,11.176745773051834,25.53363012939854
joblib,SVM-RBF,30,100,50,4,53.881502499978524,6.015051933444623,1392.5997626664494,302.81056460365255,3,11.163482186576033,21.74426369453437
ray,LogisticRegression,30,100,50,1,13.327025133340308,1.4818283591703267,291.30749900017906,22.918256142089575,3,11.118973246799294,7.867375958651682
threading,SVM-RBF,15,100,100,8,66.81173076664952,7.42793018948618,1755.086636666281,136.0379010800251,3,11.117703589253502,7.75106471885763
threading,LogisticRegression,15,100,50,4,10.993799666680085,1.212702787841035,258.90740799920235,42.83536528453326,3,11.030788486318196,16.54466576123045
ray,LogisticRegression,30,100,25,2,10.225357200019062,1.115324899359706,234.4379493348689,8.352242968658523,3,10.907441936186121,3.5626667919400115
multiprocessing,SVM-RBF,15,100,100,8,71.21485663335382,7.516762187286202,1850.8243329997897,152.0607074331108,3,10.555047840629493,8.215836842097973
joblib,LogisticRegression,30,100,50,4,7.310028733336367,0.7648310495141712,185.8922056664103,20.237720267187893,3,10.462763929042659,10.886804099524834
ray,LogisticRegression,30,100,25,4,9.923511733320387,1.0217477133624022,259.9066323346846,17.481259876015244,3,10.296231221571071,6.725976832135794
joblib,LogisticRegression,15,100,50,4,6.465426999997969,0.6556358156021607,164.56691366531217,14.57921802182815,3,10.140642150972653,8.859142884260821
ray,LogisticRegression,15,100,50,1,11.653088833321817,1.0906885469965284,263.7142916666058,24.206488205045265,3,9.359651870821772,9.179058158762102
multiprocessing,SVM-RBF,30,100,50,4,54.02792233331517,4.706612144752934,1339.601874334792,238.20849351660766,3,8.711443900648947,17.78203644533531
ray,SVM-RBF,30,100,100,4,91.9644259333533,7.599105819553862,2274.9208256655525,416.4446336615762,3,8.263092758346517,18.305895702534652
multiprocessing,SVM-RBF,30,100,100,8,85.4832107333156,6.877809822316696,2303.0201173321166,166.22045834354495,3,8.045801933871664,7.217499191283635
threading,SVM-RBF,30,100,100,4,98.17264470002071,7.733211462739552,2415.3835383331184,388.41518444054526,3,7.877155073462048,16.08089060293069
ray,SVM-RBF,30,100,100,8,96.19430669998594,7.5533294134984725,2293.550828333005,95.01901897628375,3,7.8521584827842785,4.142878274267212
joblib,LogisticRegression,30,100,50,2,8.359503300006812,0.6483586878943468,195.3819496672435,22.26054938816226,3,7.755947508194875,11.393350013178994
ray,SVM-RBF,30,100,50,4,47.80386459998166,3.4913019151647684,1228.5437476666855,240.54003130331984,3,7.303388427650487,19.579280897417455
threading,SVM-RBF,30,100,50,4,50.318432100020196,3.6444450242924216,1271.8466979982884,167.73154653948114,3,7.242763480881509,13.18803176542169
joblib,SVM-RBF,30,100,50,8,46.38162966668218,3.3238942213675315,1237.709729334921,108.4790795091964,3,7.166402399515557,8.764500830698589
